ChEMBL_ID,SMILES,MolecularWeight,MaxClinicalPhase,csp3_quota,AlogP
CHEMBL301742,NC[C@H](CC(=O)O)c1ccc(Cl)cc1,213.66,3.0,0.3,1.86
CHEMBL1200868,Nc1ccc(C(=O)Oc2ccccc2)c(O)c1,229.24,4.0,0.0,2.19
CHEMBL684,CCN(CC)C(=O)N1CCN(C)CC1,199.3,4.0,0.9,0.7
CHEMBL1076347,O=C(Nc1ccc(Cl)cc1)Nc1ccc(Cl)c(Cl)c1,315.59,4.0,0.0,5.29
CHEMBL815,CCCCC[C@H](O)/C=C/[C@@H]1[C@@H](C/C=C\CCCC(=O)O)[C@@H](O)C[C@H]1O,354.49,4.0,0.75,3.04
CHEMBL1372,N[C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O)C(=O)NCC(=O)O)C(=O)O,612.64,4.0,0.6,-3.88
CHEMBL1096927,CC(C)=CCC[C@](C)(O)[C@@H]1CC=C(C)CC1,222.37,1.0,0.733,4.23
CHEMBL146095,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12,372.81,4.0,0.158,3.14
CHEMBL1946170,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1,482.82,4.0,0.095,5.69
CHEMBL1200636,CN(C)CCC=C1c2ccccc2C=Cc2ccccc21.Cl,311.86,4.0,0.2,4.55
CHEMBL507361,O=C(NOC[C@H](O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1F,482.2,2.0,0.188,2.47
CHEMBL64,NNC(=O)c1ccncc1,137.14,4.0,0.0,-0.31
CHEMBL537,Oc1ccc(O)cc1,110.11,4.0,0.0,1.1
CHEMBL852,N[C@@H](Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,305.21,4.0,0.462,1.93
CHEMBL385517,N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)C12CC3CC(CC(O)(C3)C1)C2,315.42,4.0,0.889,1.16
CHEMBL12198,CC(N)C(=O)O,89.09,3.0,0.667,-0.58
CHEMBL94081,C=CCOc1ccc(CC(=O)O)cc1Cl,226.66,4.0,0.182,2.53
CHEMBL488436,Cc1ncc(-c2ccnc(Nc3ccc(S(C)(=O)=O)cc3)n2)n1C(C)C,371.47,1.0,0.278,3.38
CHEMBL1449,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](C(=O)O)c3ccsc3)C(=O)N2[C@H]1C(=O)O,384.44,4.0,0.467,0.55
CHEMBL1201171,CCCCOc1ccc(OCCCN2CCOCC2)cc1.Cl,329.87,4.0,0.647,2.97
CHEMBL24,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,266.34,4.0,0.5,0.45
CHEMBL517341,CC(=O)O[C@H]1[C@H]2O[C@]23[C@@H]2CC[C@]4(O)C[C@@H](O)CC[C@]4(C)[C@H]2CC[C@]3(C)[C@H]1c1ccc(=O)oc1,458.55,1.0,0.769,2.91
CHEMBL1177,NC1=NC(=O)C(c2ccccc2)O1,176.18,4.0,0.111,0.6
CHEMBL117287,COCCCN1CCC(NC(=O)c2cc(Cl)c(N)c3c2OCC3)CC1,367.88,4.0,0.611,2.09
CHEMBL221959,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,312.38,4.0,0.5,1.54
CHEMBL1349,CC(C)[C@H](N)C(=O)OCCOCn1cnc2c(=O)nc(N)[nH]c21,324.34,4.0,0.538,-0.8
CHEMBL1578,CCCC(CCC)C(=O)O[C@H]1C[C@H]2CC[C@@H](C1)[N+]2(C)C.[Br-],362.35,4.0,0.941,3.52
CHEMBL1726,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-],388.42,4.0,0.4,3.2
CHEMBL1700,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1.Cl,308.83,4.0,0.5,1.09
CHEMBL1466,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O,336.3,4.0,0.053,2.9
CHEMBL445740,C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C,204.36,1.0,0.733,4.73
CHEMBL447,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,238.29,4.0,0.583,1.35
CHEMBL443,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,253.28,4.0,0.1,1.37
CHEMBL80830,CC(C)(S)C(=O)N[C@@H](CS)C(=O)O,223.32,3.0,0.714,0.19
CHEMBL1870796,CC(C)(C)C(=O)NCCCC(=O)O,187.24,1.0,0.778,1.01
CHEMBL576982,CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1,560.68,3.0,0.345,5.86
CHEMBL1644,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,363.39,4.0,0.312,0.15
CHEMBL3184143,N=C(N)NCC1COC2(CCCCC2)O1.N=C(N)NCC1COC2(CCCCC2)O1.O=S(=O)(O)O,524.64,4.0,0.9,0.55
CHEMBL70663,Cc1cc(C)c(Nc2ccnc(Nc3ccc(C#N)cc3)n2)c(C)c1,329.41,3.0,0.15,4.76
CHEMBL4594396,Nc1ncnc2c1nc(Cl)n2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,301.69,1.0,0.5,-1.33
CHEMBL1447476,[Na+].[Na+].[O-]c1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1[O-],400.02,4.0,0.0,5.86
CHEMBL2218861,CCCN1CC(NS(=O)(=O)N(CC)CC)CC2Cc3c(O)cccc3CC21,395.57,2.0,0.7,2.14
CHEMBL4802143,CC(O)(P(=O)(O)O)P(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@@H](O)[C@@H]1O,511.21,1.0,0.636,-2.39
CHEMBL4297310,Cc1ccccc1CN1C(=O)C2=C(CCN(Cc3ccccc3)C2)N2CCN=C12,386.5,3.0,0.333,3.17
CHEMBL374731,Cc1cn([C@@H]2C[C@@H](O)[C@H](CO)O2)c(=O)[nH]c1=O,242.23,4.0,0.6,-1.51
CHEMBL2146088,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12.Cl.Cl,397.35,4.0,0.45,3.17
CHEMBL282724,Cc1cc2c(cc1CC(=O)c1sccc1S(=O)(=O)Nc1onc(C)c1Cl)OCO2,454.91,4.0,0.222,3.96
CHEMBL639,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,381.91,4.0,0.364,4.3
CHEMBL35306,C[C@@H]([C@H](N)C(=O)N[C@H](C(=O)O)[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H]1O)[C@H](O)c1ccc(O)cn1,495.45,1.0,0.45,-3.48
CHEMBL2106915,COc1cc2c(cc1OC)C(CCc1ccc(Cl)cc1)N(C)CC2,345.87,4.0,0.4,4.52
CHEMBL3707330,C[C@@H](OC[C@@]1(c2ccccc2)CC[C@]2(CCC(=O)N2)CN1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1.Cl.O,554.96,4.0,0.48,5.73
CHEMBL2107349,C[C@H](CN(C(=O)c1ccc(C#N)cc1)c1ccccn1)N1CCN(c2cccc3c2OCCO3)CC1.Cl,520.03,3.0,0.321,3.58
CHEMBL1346,NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CCN(CCc2ccc3c(c2)CCO3)C1,426.56,4.0,0.321,3.96
CHEMBL4297508,CC(C)C[C@@H](C(=O)Nc1ccn(C[C@@H](O)CO)n1)N1CC(Oc2ccccc2Cl)=CC1=O,462.93,3.0,0.409,2.05
CHEMBL46423,CC(C)c1cccc(C(C)C)c1NC(=O)NCC1(c2ccc(N(C)C)cc2)CCCC1,421.63,2.0,0.519,6.63
CHEMBL3763743,Oc1ccc(Oc2sc3cc(O)ccc3c2-c2ccc(F)cc2)cc1,352.39,1.0,0.0,5.91
CHEMBL2103878,NC(=O)c1ccc(Oc2ccc(CNCCC3CCOCC3)cc2F)nc1,373.43,2.0,0.4,3.02
CHEMBL2104445,CCOc1c(N)c2c(c(OCC)c1OCC)C(C1c3c(cc4c(c3OC)OCO4)CCN1C)OC2=O,500.55,4.0,0.5,3.64
CHEMBL312443,Oc1noc2c1CCNC2,140.14,3.0,0.5,0.03
CHEMBL4068108,CC1=C(CC(=O)NCc2ccccc2)c2cc(F)ccc2/C1=C\c1ccncc1,384.45,2.0,0.12,5.25
CHEMBL1851943,CCCCc1nc2cc(/C=C/C(=O)NO)ccc2n1CCN(CC)CC,358.49,3.0,0.5,3.24
CHEMBL4297497,NCc1ccc2c(c1)nc(CN1C(=O)C3(CC3)c3ccc(F)cc31)n2CCCC(F)(F)F,446.45,2.0,0.391,4.56
CHEMBL3137318,Cc1ccc(S(=O)(=O)O)cc1.Cn1ncnc1[C@H]1c2n[nH]c(=O)c3cc(F)cc(c23)N[C@@H]1c1ccc(F)cc1,552.56,4.0,0.154,2.63
CHEMBL520613,Cc1c(CCO)sc[n+]1CCCCCCCCCCCC[n+]1csc(CCO)c1C.[Br-].[Br-],614.55,2.0,0.75,4.67
CHEMBL1201044,Cc1ccccc1N1CCN(CCc2nnc3n2CCCC3)CC1.Cl,361.92,4.0,0.579,2.29
